,TRACK_ID,QUALITY,TP,TARGET,R,AV_RAD,AV_DEG,COORD_X,COORD_Y,COORD_Z,DISP_VECT_X,DISP_VECT_Y,DISP_VECT_Z,CENTRD_COORD_X,CENTRD_COORD_Y,CENTRD_COORD_Z,ALIGNED_COORD_X,ALIGNED_COORD_Y,ALIGNED_COORD_Z,ALIGNED_DISP_VECT_X,ALIGNED_DISP_VECT_Y,ALIGNED_DISP_VECT_Z,R_VECT_X,R_VECT_Y,R_VECT_Z,AV_VECT_X,AV_VECT_Y,AV_VECT_Z
ID25,25,0.0,0,ID225,31.015,0.259,14.829,-101.26006197211538,105.9497487437186,-59.05864872996813,0.0,1.0652188278147605,8.026157167609973,-25.23727159646282,29.9497487437186,-8.057843902564919,-8.057843902564924,-29.9497487437186,-25.23727159646282,8.026157167609973,-1.0652188278147614,-4.91460384238357e-16,0.0,29.95,-8.058,0.259,-0.0,0.0
ID26,26,0.0,0,ID226,31.637,0.259,14.829,-51.524443631432895,105.54773869346734,-62.3083278406521,0.0,1.9199958324173991,8.032839440804565,24.498346744219667,29.547738693467338,-11.30752301324889,-11.307523013248892,-29.547738693467338,24.498346744219667,8.032839440804565,-1.9199958324174,-4.918695554622963e-16,0.0,29.548,-11.308,0.259,-0.0,0.0
ID27,27,0.0,0,ID227,38.577,0.259,14.829,-86.57642855100886,105.14572864321607,-25.728164669707525,0.0,-7.53394890889507,6.682352749215923,-10.553638175356298,29.145728643216074,25.272640157695683,25.27264015769568,-29.145728643216078,-10.5536381753563,6.682352749215924,7.533948908895069,-4.0917609525503985e-16,0.0,29.146,25.273,0.259,0.0,-0.0
ID28,28,0.0,0,ID228,38.876,0.259,14.829,-85.41480707140202,104.74371859296484,-77.17556206190665,0.0,5.795315517449595,8.331332447605405,-9.392016695749462,28.74371859296484,-26.17475723450344,-26.174757234503442,-28.743718592964836,-9.39201669574946,8.331332447605405,-5.795315517449596,-5.101469807296222e-16,0.0,28.744,-26.175,0.259,-0.0,0.0
ID29,29,0.0,0,ID229,31.237,0.259,14.829,-51.01400819189175,104.34170854271358,-37.86806296675832,0.0,-4.364515703439054,6.887914037967388,25.008782183760815,28.341708542713576,13.132741860644884,13.132741860644883,-28.341708542713576,25.008782183760815,6.887914037967389,4.364515703439053,-4.2176309396994414e-16,0.0,28.342,13.133,0.259,0.0,-0.0
ID30,30,0.0,0,ID230,28.877,0.259,14.829,-103.67922289741207,103.93969849246233,-43.70384567421456,0.0,-2.840405835383649,6.982715654352866,-27.656432521759513,27.939698492462327,7.296959153188645,7.29695915318864,-27.939698492462327,-27.656432521759513,6.982715654352866,2.840405835383648,-4.2756801877296766e-16,0.0,27.94,7.297,0.259,0.0,-0.0
ID31,31,0.0,0,ID231,36.794,0.259,14.829,-60.30940595080525,103.53768844221104,-75.40247884218098,0.0,5.377502292490348,7.958772529989602,15.713384424847312,27.537688442211035,-24.401674014777775,-24.40167401477778,-27.53768844221103,15.713384424847314,7.958772529989601,-5.377502292490349,-4.873342651996824e-16,0.0,27.538,-24.402,0.259,-0.0,0.0
ID32,32,0.0,0,ID232,39.69,0.259,14.829,-71.02237184882313,103.1356783919598,-22.03660627280121,0.0,-8.420903726693538,6.036326660497455,5.000418526829435,27.1356783919598,28.964198554601996,28.964198554601992,-27.135678391959804,5.000418526829433,6.036326660497456,8.420903726693538,-3.6961840616930206e-16,0.0,27.136,28.964,0.259,0.0,-0.0
ID33,33,0.0,0,ID233,32.351,0.259,14.829,-99.5243409316029,102.73366834170857,-69.21857186305346,0.0,3.8043857137213166,7.539965294715273,-23.50155055595033,26.733668341708565,-18.217767035650247,-18.21776703565025,-26.73366834170856,-23.50155055595033,7.539965294715272,-3.8043857137213175,-4.616897181927594e-16,0.0,26.734,-18.218,0.259,-0.0,0.0
ID34,34,0.0,0,ID234,26.449,0.259,14.829,-45.99228120984017,102.33165829145727,-53.48607816301445,0.0,-0.2537851225183516,6.899845714146352,30.03050916581239,26.331658291457273,-2.4852733356112395,-2.485273335611241,-26.331658291457273,30.03050916581239,6.899845714146352,0.2537851225183508,-4.2249369842199564e-16,0.0,26.332,-2.485,0.259,-0.0,-0.0
ID35,35,0.0,0,ID235,34.238,0.259,14.829,-96.68299270609852,101.92964824120602,-28.64229093116212,0.0,-6.6701322503108,5.9492663350431485,-20.660202330445955,25.929648241206024,22.35851389624109,22.358513896241085,-25.929648241206028,-20.660202330445955,5.949266335043149,6.670132250310799,-3.642874987242849e-16,0.0,25.93,22.359,0.259,0.0,-0.0
ID36,36,0.0,0,ID236,39.999,0.259,14.829,-75.84977284776886,101.52763819095478,-81.79475799863411,0.0,7.100436681221282,7.656344873737112,0.17301752788370095,25.527638190954775,-30.793953171230903,-30.793953171230907,-25.52763819095477,0.17301752788370284,7.656344873737111,-7.100436681221283,-4.6881591213952e-16,0.0,25.528,-30.794,0.259,-0.0,0.0
ID37,37,0.0,0,ID237,34.099,0.259,14.829,-55.08825216776952,101.12562814070353,-27.947850140685546,0.0,-6.82247043201059,5.717508124261197,20.934538207883044,25.125628140703526,23.052954686717662,23.05295468671766,-25.12562814070353,20.934538207883044,5.717508124261198,6.822470432010589,-3.500964011737732e-16,0.0,25.126,23.053,0.259,0.0,-0.0
ID38,38,0.0,0,ID238,24.893,0.259,14.829,-107.31009727102236,100.72361809045226,-53.90181277765821,0.0,-0.09139244539700542,6.497820098312786,-31.287306895369795,24.723618090452263,-2.901007950255,-2.901007950255005,-24.723618090452263,-31.287306895369795,6.497820098312786,0.09139244539700463,-3.9787672924170466e-16,0.0,24.724,-2.901,0.259,-0.0,-0.0
ID39,39,0.0,0,ID239,30.985,0.259,14.83,-50.7042596259725,100.321608040201,-70.19856508358437,0.0,4.140215584980879,6.949070609981291,25.318530749680065,24.321608040201,-19.197760256181162,-19.197760256181166,-24.321608040200996,25.318530749680065,6.94907060998129,-4.14021558498088,-4.255078539781266e-16,0.0,24.322,-19.198,0.259,-0.0,0.0
ID40,40,0.0,0,ID240,39.587,0.259,14.829,-81.73823944482325,99.91959798994976,-19.457561285260983,0.0,-8.978824405358765,5.116064974962532,-5.715449069170688,23.919597989949764,31.543243542142225,31.54324354214222,-23.919597989949768,-5.71544906917069,5.116064974962533,8.978824405358765,-3.132686297908875e-16,0.0,23.92,31.543,0.259,0.0,-0.0
ID41,41,0.0,0,ID241,36.097,0.259,14.83,-93.23308800954986,99.5175879396985,-78.38510060514032,0.0,6.286443211939499,7.019924328778217,-17.210297633897298,23.5175879396985,-27.384295777737115,-27.38429577773712,-23.517587939698497,-17.210297633897298,7.019924328778216,-6.2864432119395,-4.2984639297474367e-16,0.0,23.518,-27.384,0.259,-0.0,0.0
ID42,42,0.0,0,ID242,24.674,0.259,14.829,-44.51633241983225,99.11557788944724,-42.37163198870189,0.0,-3.020830185910924,5.688747285880851,31.50645795582031,23.115577889447238,8.629172838701315,8.629172838701313,-23.115577889447238,31.50645795582031,5.688747285880851,3.0208301859109232,-3.4833530774060885e-16,0.0,23.116,8.629,0.259,0.0,-0.0
ID43,43,0.0,0,ID243,27.238,0.259,14.829,-105.29343774462828,98.71356783919596,-35.967091395347694,0.0,-4.664749106317359,5.366469999836546,-29.270647368975716,22.71356783919596,15.033713432055514,15.033713432055508,-22.713567839195964,-29.270647368975716,5.366469999836547,4.664749106317358,-3.2860151540100623e-16,0.0,22.714,15.034,0.259,0.0,-0.0
ID44,44,0.0,0,ID244,38.298,0.259,14.83,-64.45936040277158,98.31155778894473,-82.12889375993731,0.0,7.296502662182789,6.835347415089629,11.563429972880982,22.311557788944725,-31.128088932534105,-31.12808893253411,-22.31155778894472,11.563429972880984,6.835347415089628,-7.29650266218279,-4.1854431664748236e-16,0.0,22.312,-31.128,0.259,-0.0,0.0
ID45,45,0.0,0,ID245,37.958,0.259,14.829,-63.381898623403565,97.90954773869348,-20.003948065344723,0.0,-8.768918299251808,4.614443366382233,12.640891752248997,21.909547738693476,30.996856762058485,30.99685676205848,-21.90954773869348,12.640891752248995,4.6144433663822335,8.768918299251808,-2.82553164924337e-16,0.0,21.91,30.997,0.259,0.0,-0.0
ID46,46,0.0,0,ID246,25.907,0.259,14.83,-106.47646629150388,97.5075376884422,-65.44336612300145,0.0,3.005366652730956,6.058706133274825,-30.45367591585132,21.5075376884422,-14.442561295598246,-14.44256129559825,-21.5075376884422,-30.45367591585132,6.058706133274825,-3.005366652730957,-3.7098875365447256e-16,0.0,21.508,-14.443,0.259,-0.0,0.0
ID47,47,0.0,0,ID247,23.359,0.259,14.83,-43.52945545157564,97.10552763819096,-61.01101592458759,0.0,1.871888167103279,5.803629605338742,32.49333492407692,21.105527638190964,-10.010211097184381,-10.010211097184381,-21.105527638190964,32.49333492407692,5.803629605338742,-1.8718881671032797,-3.5536982098074533e-16,0.0,21.106,-10.01,0.259,-0.0,0.0
ID48,48,0.0,0,ID248,36.064,0.259,14.829,-93.3050265573597,96.7035175879397,-21.472040108823176,0.0,-8.347853637578709,4.3523238177124135,-17.282236181707134,20.7035175879397,29.52876471858003,29.528764718580028,-20.703517587939704,-17.282236181707137,4.352323817712414,8.347853637578709,-2.6650297161071483e-16,0.0,20.704,29.529,0.259,0.0,-0.0
ID49,49,0.0,0,ID249,39.339,0.259,14.83,-83.23604701880363,96.30150753768844,-84.69700899544117,0.0,8.029670596578157,6.40261453309563,-7.21325664315107,20.301507537688437,-33.69620416803796,-33.69620416803796,-20.301507537688433,-7.213256643151068,6.402614533095629,-8.029670596578157,-3.9204706970649436e-16,0.0,20.302,-33.696,0.259,-0.0,0.0
ID50,50,0.0,0,ID250,28.281,0.259,14.829,-47.7118669606763,95.8994974874372,-30.90543533945051,0.0,-5.878914971341473,4.46566325082939,28.31092341497626,19.899497487437202,20.0953694879527,20.095369487952695,-19.899497487437205,28.31092341497626,4.465663250829391,5.878914971341472,-2.734430103099089e-16,0.0,19.899,20.095,0.259,0.0,-0.0
ID51,51,0.0,0,ID251,19.97,0.259,14.829,-110.65820102361376,95.49748743718592,-46.68061515449766,0.0,-1.7822998350046078,4.899141610840843,-34.635410647961194,19.497487437185924,4.320189672905549,4.320189672905545,-19.497487437185924,-34.635410647961194,4.899141610840843,1.782299835004607,-2.999859046142923e-16,0.0,19.497,4.32,0.259,0.0,-0.0
ID52,52,0.0,0,ID252,32.878,0.259,14.83,-53.21831563403528,95.09547738693468,-77.76485757134951,0.0,6.276592265346068,5.854263629297719,22.804474741617284,19.095477386934675,-26.7640527439463,-26.764052743946305,-19.09547738693467,22.804474741617284,5.854263629297718,-6.276592265346069,-3.584702607492109e-16,0.0,19.095,-26.764,0.259,-0.0,0.0
ID53,53,0.0,0,ID253,39.98,0.259,14.829,-74.71125185252805,94.69346733668344,-15.660313991990002,0.0,-9.783548240105858,3.6340547658088553,1.3115385231245114,18.69346733668344,35.340490835413206,35.340490835413206,-18.693467336683444,1.3115385231245091,3.6340547658088567,9.783548240105858,-2.2252167684370003e-16,0.0,18.693,35.34,0.259,0.0,-0.0
ID54,54,0.0,0,ID254,31.249,0.259,14.83,-100.9690201207695,94.29145728643216,-76.33713923368688,0.0,5.934467889088481,5.597519591994626,-24.946229745116938,18.291457286432163,-25.336334406283676,-25.33633440628368,-18.29145728643216,-24.946229745116938,5.597519591994625,-5.934467889088482,-3.427492225750408e-16,0.0,18.291,-25.336,0.259,-0.0,0.0
ID55,55,0.0,0,ID255,17.983,0.259,14.829,-40.27003883054438,93.8894472361809,-49.17310306445798,0.0,-1.08240385307586,4.56787964754664,35.75275154510818,17.8894472361809,1.8277017629452246,1.8277017629452246,-17.8894472361809,35.75275154510818,4.56787964754664,1.0824038530758593,-2.797019594629166e-16,0.0,17.889,1.828,0.259,0.0,-0.0
ID56,56,0.0,0,ID256,28.826,0.259,14.829,-103.73301266052306,93.48743718592964,-28.08560388228761,0.0,-6.526552094719591,3.745292679956595,-27.710222284870497,17.487437185929636,22.915200945115597,22.915200945115593,-17.48743718592964,-27.710222284870497,3.745292679956596,6.52655209471959,-2.293330346189429e-16,0.0,17.487,22.915,0.259,0.0,-0.0
ID57,57,0.0,0,ID257,39.686,0.259,14.83,-71.00237055038369,93.0854271356784,-86.82055107722036,0.0,8.688869012705638,5.642589616251485,5.020419825268874,17.0854271356784,-35.81974624981715,-35.81974624981715,-17.085427135678398,5.020419825268876,5.642589616251484,-8.688869012705638,-3.4550896562222356e-16,0.0,17.085,-35.82,0.259,-0.0,0.0
ID58,58,0.0,0,ID258,34.278,0.259,14.829,-55.382502626480246,92.68341708542714,-21.05701423694384,0.0,-8.318288634573335,3.297703580783004,20.640287749172316,16.683417085427138,29.94379059045937,29.943790590459365,-16.68341708542714,20.640287749172312,3.297703580783005,8.318288634573335,-2.019261067371336e-16,0.0,16.683,29.944,0.259,0.0,-0.0
ID59,59,0.0,0,ID259,18.226,0.259,14.83,-111.60607517252608,92.28140703517587,-59.19287469471777,0.0,1.5656965135564889,4.4931036573093905,-35.583284796873514,16.281407035175874,-8.192069867314565,-8.192069867314569,-16.281407035175874,-35.583284796873514,4.4931036573093905,-1.5656965135564893,-2.7512325060806057e-16,0.0,16.281,-8.192,0.259,-0.0,0.0
ID60,60,0.0,0,ID260,24.076,0.259,14.83,-44.05740992473669,91.87939698492464,-69.09739458261484,0.0,4.142873053426726,4.726544131165326,31.965380450915873,15.87939698492464,-18.09658975521163,-18.09658975521163,-15.879396984924638,31.965380450915873,4.726544131165325,-4.142873053426727,-2.894173570630162e-16,0.0,15.879,-18.097,0.259,-0.0,0.0
ID61,61,0.0,0,ID261,38.347,0.259,14.829,-87.38171079564839,91.47738693467336,-15.915713588008906,0.0,-9.607860678258248,2.81037443738812,-11.358920419995826,15.477386934673362,35.0850912393943,35.0850912393943,-15.477386934673365,-11.358920419995828,2.810374437388121,9.607860678258248,-1.7208580295764532e-16,0.0,15.477,35.085,0.259,0.0,-0.0
ID62,62,0.0,0,ID262,36.926,0.259,14.83,-91.37551634795864,91.07537688442213,-84.70944242829134,0.0,8.210964689511187,5.050416046786992,-15.352725972306075,15.075376884422127,-33.70863760088813,-33.70863760088813,-15.075376884422123,-15.352725972306073,5.050416046786991,-8.210964689511187,-3.092487923030059e-16,0.0,15.075,-33.709,0.259,-0.0,0.0
ID63,63,0.0,0,ID263,20.653,0.259,14.829,-41.74391952256262,90.67336683417084,-36.46682223073054,0.0,-4.2614460429792445,3.3025407685771597,34.27887085308994,14.673366834170835,14.533982596672665,14.533982596672665,-14.673366834170837,34.27887085308994,3.30254076857716,4.2614460429792445,-2.0222229906458295e-16,0.0,14.673,14.534,0.259,0.0,-0.0
ID64,64,0.0,0,ID264,18.956,0.259,14.829,-111.22345961184593,90.2713567839196,-38.524573413356485,0.0,-3.715162686547629,3.268609082500184,-35.20066923619336,14.2713567839196,12.476231414046723,12.476231414046719,-14.271356783919602,-35.20066923619336,3.2686090825001846,3.7151626865476284,-2.001445825273909e-16,0.0,14.271,12.476,0.259,0.0,-0.0
ID65,65,0.0,0,ID265,35.911,0.259,14.83,-58.38341391995439,89.86934673366834,-84.12547533342921,0.0,8.100917364505108,4.718374278572256,17.63937645569817,13.869346733668337,-33.124670506026,-33.124670506026,-13.869346733668333,17.639376455698173,4.718374278572255,-8.100917364505108,-2.8891709787163567e-16,0.0,13.869,-33.125,0.259,-0.0,0.0
ID66,66,0.0,0,ID266,38.875,0.259,14.829,-66.57741760246061,89.46733668341709,-14.53294934304298,0.0,-9.897255598313222,2.243018601665659,9.445372773191949,13.467336683417088,36.46785548436023,36.46785548436023,-13.467336683417093,9.445372773191947,2.24301860166566,9.897255598313222,-1.3734527754789114e-16,0.0,13.467,36.468,0.259,0.0,-0.0
ID67,67,0.0,0,ID267,24.395,0.259,14.83,-107.6995612376548,89.06532663316582,-71.60182169879307,0.0,4.886953610165449,4.083545414474827,-31.676770862002243,13.065326633165824,-20.601016871389866,-20.60101687138987,-13.065326633165823,-31.676770862002243,4.083545414474826,-4.88695361016545,-2.5004504105047237e-16,0.0,13.065,-20.601,0.259,-0.0,0.0
ID68,68,0.0,0,ID268,14.119,0.259,14.83,-38.57471517008732,88.66331658291458,-57.24407467290304,0.0,1.184593395386841,3.490269190889393,37.44807520556524,12.663316582914575,-6.243269845499832,-6.243269845499831,-12.663316582914575,37.44807520556524,3.490269190889393,-1.1845933953868415,-2.1371734963926587e-16,0.0,12.663,-6.243,0.259,-0.0,0.0
ID69,69,0.0,0,ID269,32.399,0.259,14.829,-99.45964472750046,88.26130653266331,-21.011578378121868,0.0,-8.179368537023237,2.1516289608326815,-23.4368543518479,12.261306532663312,29.98922644928134,29.98922644928134,-12.261306532663315,-23.436854351847902,2.1516289608326824,8.179368537023237,-1.3174927599182452e-16,0.0,12.261,29.989,0.259,0.0,-0.0
ID70,70,0.0,0,ID270,39.889,0.259,14.83,-78.9683539099788,87.85929648241206,-89.08603368700084,0.0,9.453295142180835,4.367161918976834,-2.94556353432624,11.859296482412063,-38.08522885959763,-38.08522885959763,-11.859296482412057,-2.945563534326238,4.367161918976833,-9.453295142180835,-2.6741154327165956e-16,0.0,11.859,-38.085,0.259,-0.0,0.0
ID71,71,0.0,0,ID271,28.562,0.259,14.829,-47.9949744379342,87.4572864321608,-24.838021273621813,0.0,-7.16161592009901,2.0739161260936143,28.027815937718366,11.4572864321608,26.162783553781395,26.162783553781395,-11.457286432160803,28.027815937718366,2.073916126093615,7.16161592009901,-1.2699073727603123e-16,0.0,11.457,26.163,0.259,0.0,-0.0
ID72,72,0.0,0,ID272,11.062,0.259,14.829,-114.44008580877627,87.05527638190955,-51.3750561738049,0.0,-0.2796277270955585,2.874095805727869,-38.41729543312371,11.05527638190955,-0.37425134640169233,-0.374251346401696,-11.05527638190955,-38.41729543312371,2.874095805727869,0.27962772709555817,-1.759876114463734e-16,0.0,11.055,-0.374,0.259,-0.0,-0.0
ID73,73,0.0,0,ID273,27.88,0.259,14.83,-47.31781202227058,86.6532663316583,-76.7650928443301,0.0,6.305495479373562,3.6351924684386177,28.704978353381982,10.653266331658301,-25.76428801692689,-25.76428801692689,-10.653266331658298,28.704978353381982,3.6351924684386168,-6.305495479373563,-2.225913410378959e-16,0.0,10.653,-25.764,0.259,-0.0,0.0
